phase,ลำดับ PWA,ลำดับ PEA,กปภ.สาขา,แม่ข่่าย/หน่วยบริการ,สถานที่,เลขบัญชีผู้ใช้ไฟ,หมายเลขมิเตอร์,Team,Zero export,กำลังการผลิต,Layout,Pvsyst,For Con Rev.00,Civil Check,EE Check,รายการคำนวณ,จำนวนแผง,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,PQM,ประเภทมิเตอร์ไฟ,มิเตอร์น้ำ,ประเภทที่ดิน,กปภ.เขต,กฟภ.เขต,กฟภ.เขต,Lat,Long,จัังหวัด,Column 1,TEAM,ที่อยู่,Team เก่า,Column 36
2,103,75,กปภ.สาขาชัยภูมิ,ม.ชัยภูมิ,โรงกรองน้ำนิเวศรัตน์,20013888824,23056409,E1,MV,176.7,1,1,1,,,,310,1,,,1,5,1,1,แรงสูง,,ราชพัสดุ ชย.838,6,ฉ.3,ฉ,15.815,102.03722,ชัยภูมิ,2,C,ต.ในเมือง อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,C,1
2,104,76,กปภ.สาขาชัยภูมิ,น.บ้านเขว้า,โรงกรองน้ำบ้านเขว้า,20013406606,5700000117,E1,LV,104.88,1,1,1,,,,184,1,,,,4,1,0,แรงต่ำ,,ราชพัสดุ ชย.34,6,ฉ.3,ฉ,15.7766,101.90968,ชัยภูมิ,2,C,ต.บ้านเขว้า อ.บ้านเขว้า จ.ชัยภูมิ 36170,C,1
2,105,77,กปภ.สาขาชัยภูมิ,น.บ้านเล่า-นางเม้ง,สถานีผลิตน้ำบ้านเล่า,20013883440,23070139,E1,LV,84.36,1,1,1,,,,148,,1,,,4,1,0,แรงต่ำ,,ราชพัสดุ ชย.449,6,ฉ.3,ฉ,15.86342,102.0601,ชัยภูมิ,2,C,ต.บ้านเล่า อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,S,0
2,106,78,กปภ.สาขาชัยภูมิ,ม.ชัยภูมิ,สถานีผลิตน้ำหนองสังข์,20013883347,23057850,E1,MV (หม้อแปลง และมิเตอร์ อยู่บนเสาต้นเดียวกัน),124.26,1,1,1,,,,218,1,,,,4,1,1,แรงต่ำ,,ที่ดินราชพัสดุ,6,ฉ.3,ฉ,15.78925,102.02988,ชัยภูมิ,2,C,ต.ในเมือง อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,S,0
2,77,67,กปภ.สาขาโนนสูง,ม.โนนสูง,สำนักงานประปาโนนสูง,20013287616,27661992,E2,LV,99.18,1,1,1,,,1,174,1,,,,3,1,0,แรงต่ำ,,ที่ดิน ทต.โนนสูง โฉนดเลขที่ 76734,2,ฉ.3,ฉ,15.16528,102.24806,นครราชสีมา,2,S,ต.โนนสูง อ.โนนสูง จ.นครราชสีมา 30160,S,1
2,79,69,กปภ.สาขานครราชสีมา,ม.นครราชสีมา,สถานีจ่ายน้ำรุ่งธนาแลนด์,20013653580,23069250,E2,LV,153.9,1,1,1,,,1,270,1,,,,4,1,0,แรงสูง,,ที่ดิน กปภ.,2,ฉ.3,ฉ,15.08405,102.18779,นครราชสีมา,2,S,ต.หนองไข่น้ำ อ.เมืองนครราชสีมา จ.นครราชสีมา 30310,C,0
2,80,70,กปภ.สาขานครราชสีมา,ม.นครราชสีมา,สถานีจ่ายน้ำจอหอ,20013534427,6000167795,E2,LV,93.48,1,1,1,,,,164,,1,,,2,1,0,แรงต่ำ,,ที่ดินของ กปภ.,2,ฉ.3,ฉ,15.03017,102.14252,นครราชสีมา,2,S,ต.จอหอ อ.เมืองนครราชสีมา จ.นครราชสีมา 30310,B,0
2,83,73,กปภ.สาขาพิมาย,สำนักงาน,สำนักงานประปาพิมาย,20014006101,23070174,E2,LV,70.68,1,1,1,,,1,124,,1,,,3,1,0,แรงต่ำ,,เช่าอาคารพัสดุ,2,ฉ.3,ฉ,15.22544,102.49364,นครราชสีมา,2,S,ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30130,S,1
2,107,1,กปภ.เขต 9,สนง.ข.9,สำนักงานประปาเขต 9,20004516255,27665544,N,MV,125.4,1,1,1,,,1,220,1,,,,4,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.82284,99.04928,เชียงใหม่,1,C,ต.สันนาเม็ง อ.สันทราย จ.เชียงใหม่ 50210,C,1
2,108,2,กปภ.สาขาเชียงใหม่,ม.เชียงใหม่,สถานีผลิตน้ำแม่กวง,20005463009,27668932,N,MV,112.86,1,1,1,,,1,198,1,,,,3,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.93591,99.14026,เชียงใหม่,1,C,ต.ลวงเหนือ อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,C,1
